City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
65,New Norfolk,AU,-42.7826,147.0587,72.9,57,34,3.0,scattered clouds
66,Vaini,TO,-21.2,-175.2,80.76,89,75,8.05,broken clouds
67,Lebu,CL,-37.6167,-73.65,54.25,95,100,6.85,overcast clouds
68,Urmary,RU,55.6789,47.944,41.27,86,100,14.29,overcast clouds
69,Galatas,GR,37.4962,23.4489,62.98,69,0,8.59,clear sky
70,Torbay,CA,47.6666,-52.7314,44.58,78,61,4.0,broken clouds
71,Hunchun,CN,42.8675,130.3581,45.16,62,54,2.26,broken clouds
72,Turayf,SA,31.6725,38.6637,58.91,46,0,9.28,clear sky
73,Geraldton,AU,-28.7667,114.6,61.21,72,100,20.71,overcast clouds
74,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,18,5.1,few clouds
75,Leningradskiy,RU,69.3833,178.4167,2.79,90,100,5.5,overcast clouds
76,Tuktoyaktuk,CA,69.4541,-133.0374,20.32,95,100,5.21,overcast clouds
77,Arlit,NE,18.7369,7.3853,72.59,21,4,9.69,clear sky
78,Priargunsk,RU,50.3691,119.1012,20.46,95,75,4.23,broken clouds
79,Tuatapere,NZ,-46.1333,167.6833,69.06,45,0,5.68,clear sky
80,Ribeira Grande,PT,38.5167,-28.7,57.78,86,94,3.0,light rain
81,Qaqortoq,GL,60.7167,-46.0333,20.46,89,97,1.83,overcast clouds
82,Cape Town,ZA,-33.9258,18.4232,62.11,74,0,5.01,clear sky
83,Stuttgart,DE,48.7823,9.177,42.57,94,20,1.14,fog
84,Salinopolis,BR,-0.6136,-47.3561,79.14,82,32,8.23,scattered clouds
85,Belmonte,BR,-15.8631,-38.8828,75.54,91,3,8.14,clear sky
86,Ewa Beach,US,21.3156,-158.0072,81.84,58,20,12.66,few clouds
87,Esperance,AU,-33.8667,121.9,62.01,72,66,16.51,broken clouds
88,Marechal Candido Rondon,BR,-24.5561,-54.0567,66.78,90,100,10.36,overcast clouds
89,Tasiilaq,GL,65.6145,-37.6368,35.76,78,100,32.75,overcast clouds
90,Masuguru,TZ,-11.3667,38.4167,73.35,85,44,3.83,scattered clouds
91,Urubicha,BO,-15.3833,-62.95,77.86,63,3,1.77,clear sky
92,Abu Kamal,SY,34.4506,40.9171,62.73,50,24,7.4,few clouds
93,Herat,AF,34.5,62.0,47.39,56,13,5.84,few clouds
94,Lima,PE,-12.0432,-77.0282,64.9,76,0,18.41,clear sky
95,Kautokeino,NO,69.0125,23.0412,22.82,95,100,13.09,light snow
96,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,82,100,7.07,overcast clouds
97,Englewood,US,39.6478,-104.9878,42.08,50,75,17.27,broken clouds
98,Kapaa,US,22.0752,-159.319,81.1,68,0,17.27,clear sky
99,Vostok,RU,46.4856,135.8833,29.01,33,94,3.51,overcast clouds
100,Wageningen,NL,51.9667,5.6667,51.06,93,100,11.5,thunderstorm
