City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Luba,GQ,78.84,light rain,3.4568,8.5547,
234,Trim,IE,60.84,overcast clouds,53.555,-6.7917,Trim Castle Hotel
236,Ballina,AU,77.02,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
238,Lewistown,US,61.54,few clouds,40.5992,-77.5714,Quality Inn & Suites
239,San Jose,US,57.88,scattered clouds,37.3394,-121.895,The Westin San Jose
240,Batabano,CU,70.41,few clouds,22.7164,-82.2881,
241,Tubuala,PA,78.04,overcast clouds,9.5167,-79.0333,
242,Sidi Ali,DZ,62.82,broken clouds,36.0998,0.4206,Khaled
243,Port-Gentil,GA,75.9,overcast clouds,-0.7193,8.7815,Fengshui Residence
244,Sauda,NO,57.69,light rain,59.6506,6.3542,Klover Hotel
246,Gwembe,ZM,63.97,light rain,-16.4975,27.6069,
247,Coquimbo,CL,58.73,clear sky,-29.9533,-71.3436,Hotel San Juan
249,Camacupa,AO,59.41,overcast clouds,-12.0167,17.4833,
250,Praia Da Vitoria,PT,57.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
251,Kibala,TD,77.56,overcast clouds,9.1104,18.3463,Prasant Hotels
255,Aspindza,GE,42.58,overcast clouds,41.5739,43.2483,Aspindza Mountains
257,Oistins,BB,79.54,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
261,Alassio,IT,63.86,clear sky,44.0039,8.1671,Hotel Toscana
262,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
263,Emerald,AU,79.34,clear sky,-23.5333,148.1667,Emerald Inn
264,Sitka,US,42.69,light rain,57.0531,-135.33,Westmark Sitka
268,Tessalit,ML,70.7,clear sky,20.1986,1.0114,
269,Poum,NC,76.71,overcast clouds,-20.2333,164.0167,
270,Sao Joao Da Barra,BR,71.91,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
271,Mumford,GH,78.35,light rain,5.2618,-0.759,Peace Guest House
273,Olavarria,AR,69.03,few clouds,-36.8927,-60.3225,Hotel Santa Rosa
275,Effingham,US,74.95,moderate rain,32.3669,-81.3332,Countryside Village
277,Amalapuram,IN,74.21,few clouds,16.5833,82.0167,swayamprabha service apartments
280,Tabou,CI,77.14,light rain,4.423,-7.3528,hotêl doufoulougou
281,San Rafael,AR,70.52,heavy intensity rain,-34.6177,-68.3301,Hotel San Rafael
283,Tarakan,ID,78.3,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
284,Lakes Entrance,AU,68.27,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
285,Mana,GF,77.97,overcast clouds,5.6592,-53.7767,LE SAMANA
287,Fredericton,CA,52.83,broken clouds,45.9454,-66.6656,"Crowne Plaza Fredericton-Lord Beaverbrook, an IHG Hotel"
288,Alpiarca,PT,60.39,clear sky,39.2571,-8.5819,Quinta da Torre
289,Sand Springs,US,65.01,thunderstorm,36.1398,-96.1089,Magnuson Hotel Sand Springs-Tulsa West
292,Byron Bay,AU,76.95,clear sky,-28.65,153.6167,Backpackers Inn
293,Kungsbacka,SE,55.74,overcast clouds,57.4872,12.0761,Hotell Halland AB
294,Touros,BR,77.86,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
295,Ouegoa,NC,79.32,overcast clouds,-20.35,164.4333,
296,Xuanhua,CN,48.02,overcast clouds,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
297,Lagoa,PT,61.66,overcast clouds,39.05,-27.9833,Casa Das Faias
299,Havelock,US,73.38,overcast clouds,34.8791,-76.9013,Sherwood Motel
300,Roald,NO,55.33,broken clouds,62.5833,6.1333,Flem Cabins
301,La Union,PE,66.09,few clouds,-5.4,-80.75,Los Portales
302,Margate,GB,58.3,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
303,Saint-Georges,GD,78.87,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
306,Antofagasta,CL,61.88,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
307,Kimbe,PG,75.96,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
308,Broome,US,54.37,broken clouds,42.2506,-75.833,Chenango Valley State Park
312,Diego De Almagro,CL,61.27,clear sky,-26.3667,-70.05,hotel luna del desierto
314,San Vicente,AR,61.38,moderate rain,-26.6167,-54.1333,Complejo Turístico Farelluk
317,Hachinohe,JP,49.46,clear sky,40.5,141.5,Hachinohe Grand Hotel
319,Payo,ID,77.81,scattered clouds,-3.7508,103.6372,Mess keban agung
322,Tondano,ID,77.09,overcast clouds,1.3038,124.9112,Villa Bella
323,Sete,FR,57.06,scattered clouds,43.4018,3.6966,Hotel de Paris Sète
325,Sao Felix Do Xingu,BR,75.63,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
326,Dinghai,CN,70.05,overcast clouds,26.2847,119.7936,Shanhai Hotel
327,Marawi,PH,75.07,overcast clouds,7.9986,124.2928,Derogongan Residence
329,Brae,GB,52.52,overcast clouds,60.3964,-1.353,Busta House Hotel
330,Itarema,BR,79.41,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
331,Abu Dhabi,AE,77.02,clear sky,24.4667,54.3667,Beach Rotana
336,Alta Floresta,BR,72.68,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
339,Halifax,CA,57.47,overcast clouds,44.6453,-63.5724,Hotel Halifax
340,Avera,US,67.51,overcast clouds,33.194,-82.5271,
341,Hit,IQ,64.96,few clouds,33.6416,42.8251,المعلق حسان رزاق
342,Alamor,EC,62.15,broken clouds,-4.0181,-80.0197,Hotel central
346,Puno,PE,48.54,clear sky,-15.8333,-70.0333,Hotel Hacienda Plaza De Armas - Puno
347,Siavonga,ZM,75.04,overcast clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
348,Prieska,ZA,68.2,overcast clouds,-29.6641,22.7474,Avenue GuestHouse
349,Rockport,US,78.82,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
351,Fortuna,US,49.66,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
356,Gradignan,FR,50.34,mist,44.7726,-0.6139,Domaine de Raba
